"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Macrozamia viridis","https://id.biodiversity.org.au/node/apni/2917053","Macrozamia viridis","Zamiaceae",,"6482","plants","Equisetopsida","Zamiaceae","D.L.Jones & P.I.Forst.",
"Dendrobium carrii","https://id.biodiversity.org.au/name/apni/85318","Dendrobium carrii","Orchidaceae",,"7936","plants","Equisetopsida","Orchidaceae","Rupp & C.T.White",
"Drymoanthus","https://id.biodiversity.org.au/node/apni/2916333","Drymoanthus","Orchidaceae",,"20636","plants","Equisetopsida","Orchidaceae",,
"Dipodium hamiltonianum","https://id.biodiversity.org.au/name/apni/79467","Dipodium hamiltonianum","Orchidaceae",,"14607","plants","Equisetopsida","Orchidaceae","F.M.Bailey","yellow hyacinth orchid"
"Dipodium punctatum","https://id.biodiversity.org.au/name/apni/79508","Dipodium punctatum","Orchidaceae",,"14606","plants","Equisetopsida","Orchidaceae","(Sm.) R.Br.",
"Lyperanthus suaveolens","https://id.biodiversity.org.au/name/apni/101038","Lyperanthus suaveolens","Orchidaceae",,"12782","plants","Equisetopsida","Orchidaceae","R.Br.","brown beaks"
"Vanda","https://id.biodiversity.org.au/node/apni/2914162","Vanda","Orchidaceae",,"21710","plants","Equisetopsida","Orchidaceae",,
"Livistona fulva","https://id.biodiversity.org.au/taxon/apni/51266892","Livistona fulva","Arecaceae",,"3321","plants","Equisetopsida","Arecaceae","Rodd",
"Nepenthes pascoensis","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"40143","plants","Equisetopsida","Nepenthaceae",,
"Grammitis reinwardtii","https://id.biodiversity.org.au/node/apni/2894117","Oreogrammitis reinwardtii","Grammitidaceae",,"17073","plants","Equisetopsida","Polypodiaceae","Blume",
"Diteilis petricola","https://id.biodiversity.org.au/name/apni/200947","Diteilis petricola","Orchidaceae",,"31912","plants","Equisetopsida","Orchidaceae","D.L.Jones & B.Gray",
"Selenotypus plumipes","urn:lsid:biodiversity.org.au:afd.taxon:9016d511-766d-4970-ac47-80d675536ed8","Selenotypus plumipes","Theraphosidae",,"29185","animals","arachnids","Theraphosidae","Pocock, 1895",
"Corunastylis pumila","https://id.biodiversity.org.au/name/apni/176235","Corunastylis pumila","Orchidaceae",,"27542","plants","Equisetopsida","Orchidaceae","(Hook.f.) D.L.Jones & M.A.Clem.",
