"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Utricularia delicatula Cheeseman","NZOR-6-108796","Utricularia delicatula","Lentibulariaceae",,"Lentibulariaceae","Utricularia","Lamiales","species","Magnoliopsida"
"Montigena novae-zelandiae (Hook.f.) Heenan","NZOR-6-125954","Montigena novae-zelandiae","Leguminosae",,"Leguminosae","Montigena","Fabales","species","Magnoliopsida"
"Ranunculus haastii subsp. piliferus F.J.F.Fisher","NZOR-6-2784","Ranunculus pilifera","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","subspecies","Magnoliopsida"
"Lepidium sisymbrioides Hook.f. subsp. sisymbrioides","NZOR-6-81408","Lepidium sisymbrioides","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","subspecies","Magnoliopsida"
"Brachyglottis huntii (F.Muell.) B.Nord.","NZOR-6-110368","Brachyglottis huntii","Asteraceae",,"Compositae","Brachyglottis","Asterales","species","Magnoliopsida"
"Theleophyton billardierei (Moq.) Moq.","https://id.biodiversity.org.au/node/apni/2916905","Atriplex billardierei","Chenopodiaceae",,"Amaranthaceae","Atriplex","Caryophyllales","species","Magnoliopsida"
"Lepidium sisymbrioides subsp. matau (Petrie) Thell.","NZOR-6-42151","Lepidium solandri","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","subspecies","Magnoliopsida"
"Agropyron tenue (Buchanan) Connor","NZOR-6-91803","Connorochloa tenuis","Poaceae",,"Gramineae","Connorochloa","Poales","species","Magnoliopsida"
"Chordospartium muritai A.W.Purdie","NZOR-6-4806","Carmichaelia muritai","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Leptinella tenella (A.Cunn.) D.G.Lloyd & C.J.Webb","NZOR-6-102206","Leptinella tenella","Asteraceae",,"Compositae","Leptinella","Asterales","species","Magnoliopsida"
"Lepidium obtusatum Kirk","NZOR-6-27210","Lepidium obtusatum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Chionochloa juncea Zotov","NZOR-6-7685","Chionochloa juncea","Poaceae",,"Gramineae","Chionochloa","Poales","species","Magnoliopsida"
"Ficinia spiralis (A.Rich.) Muasya & de Lange","NZOR-6-102471","Ficinia spiralis","Cyperaceae",,"Cyperaceae","Ficinia","Poales","species","Magnoliopsida"
"Spiranthes sinensis var. australis (R.Br.) H.Hara & Kitam.","https://id.biodiversity.org.au/name/apni/230668","Spiranthes sinensis subsp. australis","Orchidaceae",,"Orchidaceae","Spiranthes","Asparagales","variety","Magnoliopsida"
"Hypericum minutiflorum Heenan","NZOR-6-133849","Hypericum minutiflorum","Hypericaceae",,"Hypericaceae","Hypericum","Malpighiales","species","Magnoliopsida"
"Ranunculus godleyanus Hook.f.","NZOR-6-39388","Ranunculus godleyanus","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Carmichaelia uniflora var. suteri (Colenso) G.Simpson","NZOR-6-99973","Carmichaelia uniflora","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
"Dryopteris gongylodes sensu Cheeseman","ALA_Dryopteris_gongylodes_sensu_Cheeseman","Dryopteris gongylodes sensu Cheeseman",,,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Oryzopsis lessoniana (Steud.) Veldkamp","NZOR-6-34044","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Cheesemania stellata (Allan) Heenan & Garn.-Jones","NZOR-6-52511","Pachycladon stellatum","Brassicaceae",,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Olearia fragrantissima Petrie","NZOR-6-102383","Olearia fragrantissima","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Pimelea sericeovillosa subsp. pulvinaris (C.J.Burrows) C.J.Burrows","NZOR-6-66708","Pimelea sericeovillosa subsp. pulvinaris","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Pomaderris apetala subsp. maritima N.G.Walsh & F.Coates","https://id.biodiversity.org.au/node/apni/2898832","Pomaderris apetala subsp. maritima","Rhamnaceae",,"Rhamnaceae","Pomaderris","Rosales","subspecies","Magnoliopsida"
